Circuit,Map,Type,Direction,Location,Country,Last length used,Turns,Grands Prix,Season(s),Grands Prix held
Adelaide Street Circuit,,Street circuit,Clockwise,Adelaide,Australia,3.780 km,16,Australian Grand Prix,1985–1995,11
Ain-Diab Circuit,,Road circuit,Clockwise,Casablanca,Morocco,7.618 km,18,Moroccan Grand Prix,1958,1
Aintree Motor Racing Circuit,,Road circuit,Clockwise,Aintree,United Kingdom,4.828 km,12,British Grand Prix,"1955, 1957, 1959, 1961–1962",5
Albert Park Circuit *,,Street circuit,Clockwise,Melbourne,Australia,5.278 km,16,Australian Grand Prix,"1996–2019, 2022–2024",27
Algarve International Circuit,,Race circuit,Clockwise,Portimão,Portugal,4.653 km,15,Portuguese Grand Prix,2020–2021,2
Autódromo do Estoril,,Race circuit,Clockwise,Estoril,Portugal,4.360 km,13,Portuguese Grand Prix,1984–1996,13
Autódromo Hermanos Rodríguez *,,Race circuit,Clockwise,Mexico City,Mexico,4.304 km,17,"Mexican Grand Prix,
Mexico City Grand Prix","1963–1970, 1986–1992, 2015–2019, 2021–2023",23
Autódromo Internacional do Rio de Janeiro,,Race circuit,Anti-clockwise,Rio de Janeiro,Brazil,5.031 km,11,Brazilian Grand Prix,"1978, 1981–1989",10
Autodromo Internazionale del Mugello,,Race circuit,Clockwise,Scarperia e San Piero,Italy,5.245 km,14,Tuscan Grand Prix,2020,1
Autodromo Internazionale Enzo e Dino Ferrari *,,Race circuit,Anti-clockwise,Imola,Italy,4.909 km,17,"Italian Grand Prix,
San Marino Grand Prix,
Emilia Romagna Grand Prix","1980–2006, 2020–2022",30
Autodromo José Carlos Pace *,,Race circuit,Anti-clockwise,São Paulo,Brazil,4.309 km,15,"Brazilian Grand Prix,
São Paulo Grand Prix","1973–1977, 1979–1980, 1990–2019, 2021–2023",40
Autodromo Nazionale di Monza *,,Race circuit,Clockwise,Monza,Italy,5.793 km,11,Italian Grand Prix,"1950–1979, 1981–2023",73
